timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753769540563,06:12:20.563,hashkey,ETH/USDT:USDT,3808.65,200.0,3802.46,4556.0,3817.23,4576.0,3820.39,523.0
1753769541065,06:12:21.065,hashkey,ETH/USDT:USDT,3809.21,27.0,3809.2,7.0,3809.36,27.0,3809.37,7.0
1753769541316,06:12:21.316,hashkey,ETH/USDT:USDT,3809.21,27.0,3809.2,7.0,3809.36,27.0,3809.37,7.0
1753769541566,06:12:21.566,hashkey,ETH/USDT:USDT,3809.21,27.0,3809.2,7.0,3809.36,27.0,3809.37,7.0
1753769541817,06:12:21.817,hashkey,ETH/USDT:USDT,3809.21,227.0,3809.2,7.0,3809.36,27.0,3809.37,7.0
1753769542068,06:12:22.068,hashkey,ETH/USDT:USDT,3809.21,227.0,3809.2,7.0,3809.36,27.0,3809.37,7.0
1753769542569,06:12:22.569,hashkey,ETH/USDT:USDT,3808.75,26.0,3808.74,7.0,3809.22,26.0,3809.23,7.0
1753769542820,06:12:22.820,hashkey,ETH/USDT:USDT,3808.75,226.0,3808.74,7.0,3808.9,26.0,3808.91,7.0
1753769543071,06:12:23.071,hashkey,ETH/USDT:USDT,3808.75,226.0,3808.74,7.0,3808.9,26.0,3808.91,7.0
1753769543321,06:12:23.321,hashkey,ETH/USDT:USDT,3808.75,226.0,3808.74,7.0,3808.9,26.0,3808.91,7.0
1753769543572,06:12:23.572,hashkey,ETH/USDT:USDT,3808.75,226.0,3808.74,7.0,3808.9,26.0,3808.91,7.0
1753769545578,06:12:25.578,hashkey,ETH/USDT:USDT,3808.89,27.0,3808.88,7.0,3809.13,26.0,3809.14,7.0
1753769545829,06:12:25.829,hashkey,ETH/USDT:USDT,3808.98,26.0,3808.97,7.0,3809.13,26.0,3809.14,7.0
1753769546330,06:12:26.330,hashkey,ETH/USDT:USDT,3807.71,377.0,3807.7,1883.0,3811.23,375.0,3812.37,1893.0
1753769546581,06:12:26.581,hashkey,ETH/USDT:USDT,3808.65,26.0,3808.64,7.0,3808.8,26.0,3811.23,375.0
1753769546832,06:12:26.832,hashkey,ETH/USDT:USDT,3808.65,26.0,3808.64,7.0,3808.8,26.0,3808.81,7.0
1753769549339,06:12:29.339,hashkey,ETH/USDT:USDT,3808.65,26.0,3808.64,7.0,3808.8,26.0,3808.81,7.0
1753769549589,06:12:29.589,hashkey,ETH/USDT:USDT,3808.29,26.0,3808.28,7.0,3808.66,26.0,3808.67,7.0
1753769549840,06:12:29.840,hashkey,ETH/USDT:USDT,3808.29,26.0,3808.28,7.0,3811.23,375.0,3812.37,1893.0
1753769550091,06:12:30.091,hashkey,ETH/USDT:USDT,3808.29,26.0,3808.28,7.0,3808.44,26.0,3808.45,7.0
1753769551345,06:12:31.345,hashkey,ETH/USDT:USDT,3808.29,226.0,3808.28,7.0,3808.44,26.0,3808.45,7.0
1753769551847,06:12:31.847,hashkey,ETH/USDT:USDT,3808.43,26.0,3808.42,7.0,3809.13,26.0,3809.14,7.0
1753769552098,06:12:32.098,hashkey,ETH/USDT:USDT,3808.98,26.0,3808.97,7.0,3809.13,26.0,3809.14,7.0
1753769552349,06:12:32.349,hashkey,ETH/USDT:USDT,3808.98,26.0,3808.97,7.0,3809.13,26.0,3809.14,7.0
1753769552600,06:12:32.600,hashkey,ETH/USDT:USDT,3808.98,226.0,3808.97,7.0,3809.13,26.0,3809.14,7.0
1753769552850,06:12:32.850,hashkey,ETH/USDT:USDT,3808.98,226.0,3808.97,7.0,3809.13,26.0,3809.14,7.0
1753769553353,06:12:33.353,hashkey,ETH/USDT:USDT,3807.71,377.0,3807.7,1883.0,3811.23,375.0,3812.37,1893.0
1753769553604,06:12:33.604,hashkey,ETH/USDT:USDT,3809.33,26.0,3809.32,7.0,3811.35,376.0,3812.49,1883.0
1753769553854,06:12:33.854,hashkey,ETH/USDT:USDT,3809.49,26.0,3809.48,7.0,3809.64,26.0,3818.02,4594.0
1753769554105,06:12:34.105,hashkey,ETH/USDT:USDT,3809.49,226.0,3809.48,7.0,3809.64,26.0,3809.65,7.0
1753769555610,06:12:35.610,hashkey,ETH/USDT:USDT,3809.49,126.0,3809.48,7.0,3809.64,26.0,3809.65,7.0
1753769555860,06:12:35.860,hashkey,ETH/USDT:USDT,3809.49,26.0,3809.48,7.0,3809.64,26.0,3809.65,7.0
1753769559371,06:12:39.371,hashkey,ETH/USDT:USDT,3807.99,376.0,3807.98,1888.0,3811.51,378.0,3812.65,1882.0
1753769559622,06:12:39.622,hashkey,ETH/USDT:USDT,3809.2,27.0,3809.19,7.0,3809.35,26.0,3809.36,7.0
1753769559873,06:12:39.873,hashkey,ETH/USDT:USDT,3809.2,127.0,3809.19,7.0,3809.35,26.0,3809.36,7.0
1753769561878,06:12:41.878,hashkey,ETH/USDT:USDT,3809.34,126.0,3809.33,7.0,3809.53,26.0,3809.54,7.0
1753769562380,06:12:42.380,hashkey,ETH/USDT:USDT,3809.49,26.0,3809.48,7.0,3809.64,26.0,3809.65,7.0
1753769565890,06:12:45.890,hashkey,ETH/USDT:USDT,3808.17,376.0,3803.25,4588.0,3818.02,4594.0,3821.25,523.0
1753769566141,06:12:46.141,hashkey,ETH/USDT:USDT,3808.17,376.0,3808.16,1890.0,3809.82,26.0,3809.83,7.0
1753769566392,06:12:46.392,hashkey,ETH/USDT:USDT,3809.67,26.0,3809.66,7.0,3809.82,26.0,3809.83,7.0
1753769568648,06:12:48.648,hashkey,ETH/USDT:USDT,3809.67,26.0,3809.66,7.0,3809.82,26.0,3809.83,7.0
1753769568899,06:12:48.899,hashkey,ETH/USDT:USDT,3809.67,26.0,3809.66,7.0,3809.82,26.0,3809.83,7.0
