timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753769554890,06:12:34.890,phemex,ETH/USDT:USDT,3807.99,14.39,3807.98,2.35,3808.0,1.31,3808.22,5.83
1753769555174,06:12:35.174,phemex,ETH/USDT:USDT,3807.99,14.39,3807.98,2.35,3808.0,1.31,3808.22,5.83
1753769555573,06:12:35.573,phemex,ETH/USDT:USDT,3807.99,2.67,3807.72,1.59,3808.0,1.19,3808.22,5.01
1753769555766,06:12:35.766,phemex,ETH/USDT:USDT,3807.99,2.67,3807.72,1.59,3808.0,1.19,3808.22,5.01
1753769555878,06:12:35.878,phemex,ETH/USDT:USDT,3807.99,2.67,3807.72,1.59,3808.0,1.19,3808.22,5.01
1753769555924,06:12:35.924,phemex,ETH/USDT:USDT,3807.99,2.67,3807.72,1.59,3808.0,1.19,3808.22,5.01
1753769556045,06:12:36.045,phemex,ETH/USDT:USDT,3807.99,3.33,3807.78,0.03,3808.0,1.19,3808.22,5.01
1753769556063,06:12:36.063,phemex,ETH/USDT:USDT,3807.99,3.33,3807.83,0.03,3808.0,1.19,3808.22,5.01
1753769556104,06:12:36.104,phemex,ETH/USDT:USDT,3807.99,3.33,3807.83,0.03,3808.0,0.82,3808.22,5.01
1753769556124,06:12:36.124,phemex,ETH/USDT:USDT,3808.0,0.76,3807.99,2.57,3808.21,0.82,3808.22,5.01
1753769556133,06:12:36.133,phemex,ETH/USDT:USDT,3808.2,12.54,3808.02,0.4,3808.21,0.82,3808.22,5.01
1753769556154,06:12:36.154,phemex,ETH/USDT:USDT,3808.2,4.18,3808.1,0.76,3808.21,3.22,3808.22,5.01
1753769556174,06:12:36.174,phemex,ETH/USDT:USDT,3808.2,4.18,3808.1,0.76,3808.21,3.22,3808.22,5.01
1753769556202,06:12:36.202,phemex,ETH/USDT:USDT,3808.2,4.18,3808.1,0.76,3808.21,2.85,3808.22,5.01
1753769556212,06:12:36.212,phemex,ETH/USDT:USDT,3808.1,0.76,3808.01,0.66,3808.21,2.85,3808.22,5.01
1753769556262,06:12:36.262,phemex,ETH/USDT:USDT,3808.1,0.76,3808.0,1.56,3808.21,2.03,3808.22,5.01
1753769556302,06:12:36.302,phemex,ETH/USDT:USDT,3808.1,0.76,3808.0,1.56,3808.21,2.03,3808.22,5.01
1753769556325,06:12:36.325,phemex,ETH/USDT:USDT,3808.1,0.76,3808.0,1.56,3808.21,2.03,3808.22,5.01
1753769556843,06:12:36.843,phemex,ETH/USDT:USDT,3808.1,0.76,3808.0,1.56,3808.21,2.03,3808.22,5.01
1753769557061,06:12:37.061,phemex,ETH/USDT:USDT,3808.1,0.76,3808.0,1.56,3808.2,0.82,3808.21,2.03
1753769557137,06:12:37.137,phemex,ETH/USDT:USDT,3808.1,0.76,3808.0,1.56,3808.18,0.82,3808.19,1.17
1753769557155,06:12:37.155,phemex,ETH/USDT:USDT,3808.1,0.76,3808.0,1.56,3808.18,0.82,3808.21,2.03
1753769557202,06:12:37.202,phemex,ETH/USDT:USDT,3808.1,0.76,3808.0,1.56,3808.2,0.82,3808.21,2.03
1753769557273,06:12:37.273,phemex,ETH/USDT:USDT,3808.1,0.76,3808.0,1.56,3808.2,9.35,3808.21,2.03
