timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753769518369,06:11:58.369,binanceusdm,ETH/USDT:USDT,3806.45,70.052,3806.44,0.047,3806.46,20.991,3806.47,0.01
1753769518472,06:11:58.472,binanceusdm,ETH/USDT:USDT,3806.45,70.052,3806.44,0.047,3806.46,20.988,3806.47,0.01
1753769518685,06:11:58.685,binanceusdm,ETH/USDT:USDT,3806.45,61.186,3806.44,0.047,3806.46,24.985,3806.47,0.01
1753769519203,06:11:59.203,binanceusdm,ETH/USDT:USDT,3806.45,68.276,3806.44,0.055,3806.46,31.939,3806.47,0.01
1753769519305,06:11:59.305,binanceusdm,ETH/USDT:USDT,3806.45,68.276,3806.44,0.055,3806.46,32.647,3806.47,0.01
1753769519406,06:11:59.406,binanceusdm,ETH/USDT:USDT,3806.45,68.276,3806.44,0.055,3806.46,32.675,3806.47,0.01
1753769519509,06:11:59.509,binanceusdm,ETH/USDT:USDT,3806.45,68.276,3806.44,0.055,3806.46,32.669,3806.47,0.01
1753769519610,06:11:59.610,binanceusdm,ETH/USDT:USDT,3806.45,68.249,3806.44,0.055,3806.46,33.9,3806.47,0.01
1753769519711,06:11:59.711,binanceusdm,ETH/USDT:USDT,3806.45,68.197,3806.44,0.055,3806.46,33.906,3806.47,0.01
1753769519813,06:11:59.813,binanceusdm,ETH/USDT:USDT,3806.45,66.84,3806.44,0.055,3806.46,33.906,3806.47,0.01
1753769519915,06:11:59.915,binanceusdm,ETH/USDT:USDT,3806.45,66.84,3806.44,0.055,3806.46,33.906,3806.47,0.01
1753769520119,06:12:00.119,binanceusdm,ETH/USDT:USDT,3806.45,66.792,3806.44,0.065,3806.46,18.315,3806.47,0.01
1753769520223,06:12:00.223,binanceusdm,ETH/USDT:USDT,3806.45,68.052,3806.44,0.08,3806.46,18.65,3806.47,0.01
1753769520428,06:12:00.428,binanceusdm,ETH/USDT:USDT,3806.45,68.599,3806.44,0.08,3806.46,18.939,3806.47,0.01
1753769520737,06:12:00.737,binanceusdm,ETH/USDT:USDT,3806.45,68.624,3806.44,0.552,3806.46,19.185,3806.47,0.01
1753769520838,06:12:00.838,binanceusdm,ETH/USDT:USDT,3806.45,69.244,3806.44,0.552,3806.46,19.184,3806.47,0.01
1753769520941,06:12:00.941,binanceusdm,ETH/USDT:USDT,3806.45,68.242,3806.44,0.552,3806.46,10.427,3806.47,0.01
1753769521042,06:12:01.042,binanceusdm,ETH/USDT:USDT,3806.45,68.242,3806.44,0.552,3806.46,10.427,3806.47,0.01
1753769521147,06:12:01.147,binanceusdm,ETH/USDT:USDT,3806.45,70.212,3806.44,0.552,3806.46,28.315,3806.47,0.01
1753769521248,06:12:01.248,binanceusdm,ETH/USDT:USDT,3806.45,70.206,3806.44,0.552,3806.46,29.923,3806.47,0.01
1753769521349,06:12:01.349,binanceusdm,ETH/USDT:USDT,3806.45,68.162,3806.44,0.552,3806.46,34.127,3806.47,0.024
1753769521450,06:12:01.450,binanceusdm,ETH/USDT:USDT,3806.45,68.22,3806.44,0.552,3806.46,33.864,3806.47,0.024
1753769521865,06:12:01.865,binanceusdm,ETH/USDT:USDT,3806.45,68.188,3806.44,0.552,3806.46,16.818,3806.47,0.047
1753769521968,06:12:01.968,binanceusdm,ETH/USDT:USDT,3806.45,68.713,3806.44,0.552,3806.46,16.818,3806.47,0.047
1753769522070,06:12:02.070,binanceusdm,ETH/USDT:USDT,3806.45,68.727,3806.44,0.552,3806.46,16.706,3806.47,0.047
1753769522181,06:12:02.181,binanceusdm,ETH/USDT:USDT,3806.45,68.727,3806.44,0.552,3806.46,16.824,3806.47,0.047
1753769522284,06:12:02.284,binanceusdm,ETH/USDT:USDT,3806.45,68.727,3806.44,0.552,3806.46,16.822,3806.47,0.058
1753769522693,06:12:02.693,binanceusdm,ETH/USDT:USDT,3806.45,65.563,3806.44,0.552,3806.46,13.674,3806.47,0.073
1753769522796,06:12:02.796,binanceusdm,ETH/USDT:USDT,3806.45,65.601,3806.44,0.552,3806.46,13.237,3806.47,0.073
1753769522899,06:12:02.899,binanceusdm,ETH/USDT:USDT,3806.45,65.594,3806.44,0.552,3806.46,13.237,3806.47,0.073
1753769523009,06:12:03.009,binanceusdm,ETH/USDT:USDT,3806.45,65.594,3806.44,0.552,3806.46,13.308,3806.47,0.073
1753769523111,06:12:03.111,binanceusdm,ETH/USDT:USDT,3806.45,65.115,3806.44,0.552,3806.46,13.308,3806.47,0.073
1753769523213,06:12:03.213,binanceusdm,ETH/USDT:USDT,3806.45,65.088,3806.44,0.552,3806.46,13.314,3806.47,0.073
1753769523315,06:12:03.315,binanceusdm,ETH/USDT:USDT,3806.45,65.082,3806.44,0.552,3806.46,14.817,3806.47,0.073
1753769524163,06:12:04.163,binanceusdm,ETH/USDT:USDT,3806.45,65.885,3806.44,0.552,3806.46,37.585,3806.47,0.073
1753769524264,06:12:04.264,binanceusdm,ETH/USDT:USDT,3806.45,67.562,3806.44,0.552,3806.46,37.594,3806.47,0.073
1753769524577,06:12:04.577,binanceusdm,ETH/USDT:USDT,3806.45,65.468,3806.44,0.552,3806.46,46.071,3806.47,0.073
1753769524781,06:12:04.781,binanceusdm,ETH/USDT:USDT,3806.45,6.728,3806.44,0.055,3806.46,59.983,3806.47,0.088
1753769524885,06:12:04.885,binanceusdm,ETH/USDT:USDT,3806.45,6.728,3806.44,0.055,3806.46,57.952,3806.47,0.088
1753769524987,06:12:04.987,binanceusdm,ETH/USDT:USDT,3806.45,6.731,3806.44,0.055,3806.46,62.659,3806.47,0.088
1753769525090,06:12:05.090,binanceusdm,ETH/USDT:USDT,3806.45,14.506,3806.44,0.055,3806.46,61.061,3806.47,0.088
1753769525192,06:12:05.192,binanceusdm,ETH/USDT:USDT,3806.45,2.539,3806.44,0.055,3806.46,96.552,3806.47,0.088
1753769525293,06:12:05.293,binanceusdm,ETH/USDT:USDT,3806.24,31.814,3806.21,0.006,3806.25,123.852,3806.27,0.006
1753769525394,06:12:05.394,binanceusdm,ETH/USDT:USDT,3806.24,25.866,3806.21,0.006,3806.25,72.151,3806.27,0.012
1753769525496,06:12:05.496,binanceusdm,ETH/USDT:USDT,3806.24,36.491,3806.21,0.006,3806.25,87.04,3806.27,0.012
1753769526004,06:12:06.004,binanceusdm,ETH/USDT:USDT,3806.24,52.28,3806.22,0.011,3806.25,66.975,3806.27,0.012
1753769526105,06:12:06.105,binanceusdm,ETH/USDT:USDT,3806.24,52.28,3806.22,0.011,3806.25,65.671,3806.27,0.012
1753769526511,06:12:06.511,binanceusdm,ETH/USDT:USDT,3806.24,72.055,3806.22,0.011,3806.25,20.528,3806.27,0.012
1753769526613,06:12:06.613,binanceusdm,ETH/USDT:USDT,3806.24,72.163,3806.22,0.011,3806.25,20.079,3806.27,0.006
1753769526716,06:12:06.716,binanceusdm,ETH/USDT:USDT,3806.24,72.173,3806.22,0.011,3806.25,20.069,3806.27,0.006
1753769526820,06:12:06.820,binanceusdm,ETH/USDT:USDT,3806.24,72.162,3806.22,0.011,3806.25,20.069,3806.27,0.006
1753769526923,06:12:06.923,binanceusdm,ETH/USDT:USDT,3806.24,72.162,3806.22,0.011,3806.25,20.069,3806.27,0.006
1753769527128,06:12:07.128,binanceusdm,ETH/USDT:USDT,3806.24,72.168,3806.22,0.011,3806.25,18.154,3806.27,0.006
1753769527240,06:12:07.240,binanceusdm,ETH/USDT:USDT,3806.24,72.563,3806.22,0.011,3806.25,18.238,3806.27,0.006
1753769527341,06:12:07.341,binanceusdm,ETH/USDT:USDT,3806.24,72.523,3806.22,0.011,3806.25,18.23,3806.27,0.006
1753769527444,06:12:07.444,binanceusdm,ETH/USDT:USDT,3806.24,84.517,3806.22,0.011,3806.25,27.037,3806.27,0.006
1753769527546,06:12:07.546,binanceusdm,ETH/USDT:USDT,3806.24,83.317,3806.22,0.011,3806.25,27.045,3806.27,0.006
1753769527648,06:12:07.648,binanceusdm,ETH/USDT:USDT,3806.24,83.317,3806.22,0.011,3806.25,27.198,3806.27,0.006
1753769527750,06:12:07.750,binanceusdm,ETH/USDT:USDT,3806.24,83.317,3806.22,0.011,3806.25,29.168,3806.27,0.006
1753769527851,06:12:07.851,binanceusdm,ETH/USDT:USDT,3806.24,83.515,3806.22,0.011,3806.25,28.299,3806.27,0.012
1753769528168,06:12:08.168,binanceusdm,ETH/USDT:USDT,3806.24,83.521,3806.22,0.021,3806.25,28.851,3806.27,0.012
1753769528272,06:12:08.272,binanceusdm,ETH/USDT:USDT,3806.24,85.247,3806.23,0.01,3806.25,28.851,3806.26,0.03
1753769528376,06:12:08.376,binanceusdm,ETH/USDT:USDT,3806.24,85.049,3806.23,0.01,3806.25,29.133,3806.26,0.03
1753769528478,06:12:08.478,binanceusdm,ETH/USDT:USDT,3806.24,85.049,3806.23,0.01,3806.25,29.133,3806.26,0.03
1753769528581,06:12:08.581,binanceusdm,ETH/USDT:USDT,3806.24,81.441,3806.23,0.01,3806.25,29.591,3806.26,0.03
1753769528689,06:12:08.689,binanceusdm,ETH/USDT:USDT,3806.24,79.55,3806.23,0.01,3806.25,29.698,3806.26,0.03
1753769528792,06:12:08.792,binanceusdm,ETH/USDT:USDT,3806.24,79.55,3806.23,0.01,3806.25,29.698,3806.26,0.03
1753769528894,06:12:08.894,binanceusdm,ETH/USDT:USDT,3806.24,79.19,3806.23,0.01,3806.25,36.984,3806.26,0.03
1753769528996,06:12:08.996,binanceusdm,ETH/USDT:USDT,3806.24,80.529,3806.23,0.01,3806.25,39.797,3806.26,0.03
1753769529097,06:12:09.097,binanceusdm,ETH/USDT:USDT,3806.24,44.747,3806.23,0.042,3806.25,39.759,3806.26,0.03
1753769529198,06:12:09.198,binanceusdm,ETH/USDT:USDT,3806.24,45.049,3806.23,0.042,3806.25,39.783,3806.26,0.03
